settlement,population_2015_01_01
Vázsnok,141
Vécs,625
Végegyháza,1390
Vékény,139
Véménd,1338
Vének,166
Vép,3322
Vértesacsa,1773
Vértesboglár,865
Vérteskethely,551
Vértessomló,1303
Vértesszőlős,2986
Vértestolna,474
Vése,740
Vésztő,6855
Vízvár,541
Vöckönd,99
Völcsej,371
Vönöck,728
Vörs,479
Vöröstó,81
Zabar,428
Zagyvarékas,3384
Zagyvaszántó,1985
Zajk,230
Zajta,427
Zala,245
Zalaapáti,1671
Zalabaksa,694
Zalaboldogfa,324
Zalabér,704
Zalacsány,926
Zalacséb,486
Zalaegerszeg,58959
Zalaerdőd,232
Zalagyömörő,450
Zalahaláp,1204
Zalaháshágy,365
Zalaigrice,111
Zalaistvánd,340
Zalakaros,1936
Zalakomár,2960
Zalaköveskút,24
Zalalövő,3027
Zalameggyes,43
Zalamerenye,188
Zalaszabar,518
Zalaszegvár,135
Zalaszentbalázs,796
Zalaszentgrót,6552
Zalaszentgyörgy,399
Zalaszentiván,1005
Zalaszentjakab,292
Zalaszentlászló,848
Zalaszentlőrinc,274
Zalaszentmihály,938
Zalaszentmárton,56
Zalaszombatfa,47
Zalaszántó,949
Zalasárszeg,117
Zalatárnok,650
Zalavár,853
Zalavég,355
Zalaújlak,109
Zalkod,195
Zaláta,215
Zamárdi,2424
Zaránk,410
Zebecke,72
Zebegény,1197
Zemplénagárd,782
Zengővárkony,393
Zichyújfalu,921
Zics,330
Ziliz,351
Zimány,560
Zirc,6960
Zomba,2042
Zsadány,1726
Zsana,751
Zsarolyán,364
Zsebeháza,134
Zselickisfalud,241
Zselickislak,308
Zselicszentpál,407
Zsennye,90
Zsira,831
Zsombó,3353
Zsujta,152
Zsurk,743
Zsáka,1554
Zsámbok,2297
Zsámbék,5276
Zsédeny,190
Zubogy,550
Zádor,317
Zádorfalva,459
Záhony,4156
Zákány,1068
Zákányfalu,529
Zákányszék,2699
Zámoly,2145
Zánka,794
Závod,276
Zók,313
nan,9855571
Ábrahámhegy,423
Ács,6771
Ácsteszér,696
Ádánd,2125
Ág,189
Ágasegyháza,1894
Ágfalva,2147
Álmosd,1653
Áporka,1067
Ároktő,1116
Árpádhalom,514
Árpás,273
Ártánd,514
Ásotthalom,3849
Ásványráró,1914
Ászár,1714
Áta,165
Átány,1490
Écs,1903
Égerszög,59
Érd,63993
Érpatak,1673
Érsekcsanád,2804
Érsekhalma,583
Érsekvadkert,3461
Értény,778
Óbarok,754
Óbudavár,54
Óbánya,120
Ócsa,9256
Ócsárd,386
Ófalu,316
Ófehértó,2551
Óföldeák,461
Óhíd,595
Ólmod,107
Ónod,2340
Ópusztaszer,2208
Ópályi,3004
Ózd,33493
Ózdfalu,160
Öcs,187
Öcsöd,3290
Ököritófülpös,1821
Ölbő,737
Ömböly,452
Öregcsertő,760
Öreglak,1537
Örkény,4810
Örményes,1007
Örménykút,362
Örvényes,136
Öskü,2211
Öttevény,3022
Öttömös,714
Ötvöskónyi,904
Újbarok,395
Újcsanálos,861
Újdombrád,748
Újfehértó,12736
Újhartyán,2753
Újireg,280
Újiráz,527
Újkenéz,989
Újkér,977
Újkígyós,5072
Újlengyel,1661
Újléta,1159
Újlőrincfalva,191
Újpetre,956
Újrónafő,836
Újsolt,201
Újszalonta,106
Újszentiván,1899
Újszentmargita,1473
Újszilvás,2562
Újszász,6153
Újtelek,350
Újtikos,870
Újudvar,966
Újvárfalva,301
Úny,685
Úrhida,2431
Úri,2513
Úrkút,2017
Üllés,2977
Üllő,11701
Üröm,7210
Őcsény,2359
Őr,1422
Őrbottyán,7073
Őrhalom,967
Őrimagyarósd,220
Őriszentpéter,1160
Őrtilos,460
Ősagárd,296
Ősi,1992
