settlement,population_2015_01_01
Hőgyész,2858
Ibafa,233
Iborfia,11
Ibrány,6751
Igal,1305
Igar,932
Igrici,1221
Iharos,444
Iharosberény,1274
Ikervár,1780
Iklad,2004
Iklanberény,39
Iklódbördőce,276
Ikrény,1826
Iliny,166
Ilk,1230
Illocska,247
Imola,87
Imrehegy,719
Inke,1164
Ináncs,1212
Inárcs,4397
Ipacsfa,198
Ipolydamásd,359
Ipolyszög,625
Ipolytarnóc,455
Ipolytölgyes,427
Ipolyvece,757
Iregszemcse,2656
Irota,80
Isaszeg,11250
Ispánk,100
Istenmezeje,1600
Istvándi,607
Iszkaszentgyörgy,1940
Iszkáz,348
Isztimér,976
Ivád,365
Iván,1263
Ivánbattyán,123
Ivánc,684
Iváncsa,2758
Ivándárda,223
Izmény,475
Izsák,5622
Izsófalva,1746
Jakabszállás,2590
Jenő,1293
Jobaháza,559
Jobbágyi,2087
Juta,1146
Jágónak,259
Ják,2598
Jákfa,510
Jákfalva,544
Jákó,625
Jánd,778
Jánkmajtis,1736
Jánoshalma,8675
Jánoshida,2394
Jánosháza,2489
Jánossomorja,6052
Járdánháza,1852
Jármi,1301
Jásd,721
Jászalsószentgyörgy,3367
Jászapáti,8585
Jászberény,26372
Jászboldogháza,1675
Jászdózsa,2149
Jászfelsőszentgyörgy,1903
Jászfényszaru,5567
Jászivány,372
Jászjákóhalma,2950
Jászkarajenő,2707
Jászkisér,5448
Jászladány,5551
Jászszentandrás,2440
Jászszentlászló,2469
Jásztelek,1641
Jászágó,723
Jászárokszállás,7810
Jéke,766
Jósvafő,229
Kaba,5878
Kacorlak,212
Kacsóta,273
Kadarkút,2435
Kajdacs,1249
Kajárpéc,1274
Kajászó,1035
Kakasd,1656
Kakucs,2936
Kalaznó,138
Kallósd,91
Kalocsa,16136
Kamond,430
Kamut,1003
Kapolcs,374
Kapoly,667
Kaposfő,1637
Kaposgyarmat,89
Kaposhomok,481
Kaposkeresztúr,339
Kaposmérő,2433
Kapospula,864
Kaposszekcső,1512
Kaposszerdahely,953
Kaposvár,63742
Kaposújlak,737
Kapuvár,10393
Karakó,183
Karakószörcsök,273
Karancsalja,1527
Karancsberény,850
Karancskeszi,1877
Karancslapujtő,2599
Karancsság,1274
Karcag,20163
Karcsa,1820
Kardos,632
Kardoskút,913
Karmacs,788
Karos,487
Kartal,5616
Karácsond,2911
Karád,1561
Kaskantyú,1002
Kastélyosdombó,268
Kaszaper,1933
Kaszó,95
Katafa,352
Katymár,1843
Katádfa,147
Kazincbarcika,27487
Kazsok,320
Kazár,1839
Kecel,8540
Kecskemét,111836
Kecskéd,1990
Kehidakustány,1187
Kelebia,2490
Kelemér,507
Kelevíz,311
Keléd,77
Kemecse,4815
Kemence,972
Kemendollár,510
Kemeneshőgyész,447
Kemeneskápolna,88
Kemenesmagasi,804
Kemenesmihályfa,497
Kemenespálfa,373
Kemenesszentmárton,196
Kemenesszentpéter,621
Kemenessömjén,600
Kemestaródfa,205
Kemse,58
Keménfa,86
Kenderes,4508
Kengyel,3552
Kenyeri,867
Kenéz,269
Kenézlő,1169
Kercaszomor,198
Kercseliget,371
Kerecsend,2307
Kerecseny,233
Kerekegyháza,6437
Kerekharaszt,958
Kereki,535
Kerepes,9873
Keresztéte,36
Kerkabarabás,261
Kerkafalva,94
Kerkakutas,112
Kerkaszentkirály,215
Kerkateskánd,162
Kerkáskápolna,78
Kerta,624
Kertészsziget,374
Kerékteleki,689
Keszeg,641
Kesznyéten,1800
Keszthely,20116
Kesztölc,2526
Keszü,1248
Keszőhidegkút,194
Kevermes,2049
Kilimán,237
Kimle,2285
Kincsesbánya,1451
Királd,785
Királyegyháza,909
Királyhegyes,626
Királyszentistván,468
Kisapostag,1374
Kisapáti,327
Kisar,1145
Kisasszond,162
Kisasszonyfa,213
Kisbabot,221
Kisbajcs,886
Kisbajom,402
Kisberzseny,82
Kisberény,206
Kisbeszterce,83
Kisbodak,359
Kisbucsa,455
Kisbudmér,106
Kisbágyon,423
Kisbárapáti,375
Kisbárkány,143
Kisbér,5348
Kiscsehi,165
Kiscsécs,201
Kiscsősz,111
Kisdobsza,241
Kisdombegyház,467
Kisdorog,738
Kisdér,121
Kisecset,150
Kisfalud,749
Kisfüzes,130
Kisgyalán,194
Kisgyőr,1680
Kisgörbő,158
Kishajmás,187
Kisharsány,481
Kishartyán,527
Kisherend,194
Kishuta,295
Kishódos,68
Kisigmánd,450
Kisjakabfalva,117
Kiskassa,252
Kiskinizs,323
Kiskorpád,893
Kiskunfélegyháza,29153
Kiskunhalas,27714
Kiskunlacháza,8821
Kiskunmajsa,11381
Kiskutas,161
Kisköre,2911
Kiskőrös,14164
Kislippó,274
Kisláng,2442
Kisléta,1899
Kislőd,1202
Kismarja,1254
Kismaros,2183
Kismányok,325
Kisnamény,311
Kisnyárád,167
Kisnána,1014
Kisnémedi,616
Kisoroszi,951
Kispalád,963
Kispirit,59
Kispáli,286
Kisrozvágy,169
Kisrákos,186
Kisrécse,193
Kissikátor,295
Kissomlyó,220
Kisszekeres,555
Kisszentmárton,246
Kissziget,170
Kisszállás,2382
Kisszékely,296
Kisszőlős,138
Kistamási,111
Kistapolca,180
Kistarcsa,12212
Kistelek,7033
Kistokaj,2084
Kistolmács,174
Kistormás,339
Kistótfalu,312
Kisunyom,423
Kisvarsány,1030
Kisvaszar,317
Kisvejke,412
Kisvárda,16628
Kisvásárhely,37
Kiszombor,3795
Kiszsidány,93
Kisújszállás,11249
Klárafalva,462
Kocs,2519
Kocsola,1287
Kocsord,2878
Kocsér,1841
Kokad,661
Kolontár,679
Komjáti,213
Komló,23604
Komlódtótfalu,121
Komlósd,159
Komlóska,233
Komoró,1253
Kompolt,1981
Komádi,5421
Komárom,18957
Kondorfa,498
Kondoros,4997
Kondó,593
Konyár,2183
Koppányszántó,314
Korlát,312
Koroncó,2074
Kosd,2425
Kovácshida,272
Kovácsszénája,55
Kovácsvágás,667
Kozmadombja,36
Kozárd,153
Kozármisleny,6017
Krasznokvajda,459
Kulcs,2735
Kunadacs,1537
Kunbaja,1544
Kunbaracs,618
Kuncsorba,621
Kunfehértó,2052
Kunhegyes,7636
Kunmadaras,5452
Kunpeszér,681
Kunszentmiklós,8334
Kunszentmárton,8484
Kunsziget,1233
Kunszállás,1691
Kunágota,2650
Kup,460
Kupa,155
Kurd,1139
Kurityán,1576
Kustánszeg,456
Kutas,1458
Kutasó,79
Kács,432
Kákics,210
Kál,3519
Káld,1065
Kálló,1455
Kállósemjén,3537
Kálmáncsa,631
Kálmánháza,1840
Káloz,2370
Kálócfa,158
Kám,395
Kántorjánosi,2173
Kány,47
Kánya,422
Kányavár,118
Kánó,162
Kápolna,1465
Kápolnásnyék,3590
Káptalanfa,790
Káptalantóti,472
Kára,45
Károlyháza,519
Kárász,319
Kásád,285
Kátoly,284
Káva,661
Kávás,256
Kázsmárk,984
Kék,1935
Kékcse,1524
Kéked,178
Kékesd,159
Kékkút,72
Kéleshalom,434
Kémes,468
Kérsemjén,290
Kétbodony,433
Kétegyháza,3578
Kéthely,2282
Kétpó,690
Kétsoprony,1330
Kétvölgy,97
Kéty,698
Kétújfalu,703
Kóka,4265
Kóny,2640
Kópháza,2081
Kórós,224
Kóspallag,755
Kótaj,4436
Köblény,201
Köcsk,230
Kökény,619
Kölcse,1411
Kölesd,1482
Kölked,1031
Kömlő,1881
Kömlőd,1090
Kömpöc,674
Kömörő,571
Körmend,11472
Környe,4379
Köröm,1374
Körösladány,4557
Körösnagyharsány,541
Körösszakál,833
Körösszegapáti,1012
Köröstarcsa,2557
Körösújfalu,448
Kötcse,477
Kötegyán,1463
Kövegy,362
Köveskál,338
Kübekháza,1446
Külsősárd,73
Külsővat,810
Küngös,471
Kőkút,594
Kőröshegy,1330
Kőröstetétlen,875
Kőszeg,11702
